emoji,description,group,points,primary
🙋🏾,"person raising hand: medium-dark skin tone",People & Body,1F64B 1F3FE,false
🙋🏿,"person raising hand: dark skin tone",People & Body,1F64B 1F3FF,false
🙋‍♂️,"man raising hand",People & Body,1F64B 200D 2642 FE0F,false
🙋🏻‍♂️,"man raising hand: light skin tone",People & Body,1F64B 1F3FB 200D 2642 FE0F,false
🙋🏼‍♂️,"man raising hand: medium-light skin tone",People & Body,1F64B 1F3FC 200D 2642 FE0F,false
🙋🏽‍♂️,"man raising hand: medium skin tone",People & Body,1F64B 1F3FD 200D 2642 FE0F,false
🙋🏾‍♂️,"man raising hand: medium-dark skin tone",People & Body,1F64B 1F3FE 200D 2642 FE0F,false
🙋🏿‍♂️,"man raising hand: dark skin tone",People & Body,1F64B 1F3FF 200D 2642 FE0F,false
🙋‍♀️,"woman raising hand",People & Body,1F64B 200D 2640 FE0F,false
🙋🏻‍♀️,"woman raising hand: light skin tone",People & Body,1F64B 1F3FB 200D 2640 FE0F,false
🙋🏼‍♀️,"woman raising hand: medium-light skin tone",People & Body,1F64B 1F3FC 200D 2640 FE0F,false
🙋🏽‍♀️,"woman raising hand: medium skin tone",People & Body,1F64B 1F3FD 200D 2640 FE0F,false
🙋🏾‍♀️,"woman raising hand: medium-dark skin tone",People & Body,1F64B 1F3FE 200D 2640 FE0F,false
🙋🏿‍♀️,"woman raising hand: dark skin tone",People & Body,1F64B 1F3FF 200D 2640 FE0F,false
🧏,"deaf person",People & Body,1F9CF,true
🧏🏻,"deaf person: light skin tone",People & Body,1F9CF 1F3FB,false
🧏🏼,"deaf person: medium-light skin tone",People & Body,1F9CF 1F3FC,false
🧏🏽,"deaf person: medium skin tone",People & Body,1F9CF 1F3FD,false
🧏🏾,"deaf person: medium-dark skin tone",People & Body,1F9CF 1F3FE,false
🧏🏿,"deaf person: dark skin tone",People & Body,1F9CF 1F3FF,false
🧏‍♂️,"deaf man",People & Body,1F9CF 200D 2642 FE0F,false
🧏🏻‍♂️,"deaf man: light skin tone",People & Body,1F9CF 1F3FB 200D 2642 FE0F,false
🧏🏼‍♂️,"deaf man: medium-light skin tone",People & Body,1F9CF 1F3FC 200D 2642 FE0F,false
🧏🏽‍♂️,"deaf man: medium skin tone",People & Body,1F9CF 1F3FD 200D 2642 FE0F,false
🧏🏾‍♂️,"deaf man: medium-dark skin tone",People & Body,1F9CF 1F3FE 200D 2642 FE0F,false
🧏🏿‍♂️,"deaf man: dark skin tone",People & Body,1F9CF 1F3FF 200D 2642 FE0F,false
🧏‍♀️,"deaf woman",People & Body,1F9CF 200D 2640 FE0F,false
🧏🏻‍♀️,"deaf woman: light skin tone",People & Body,1F9CF 1F3FB 200D 2640 FE0F,false
🧏🏼‍♀️,"deaf woman: medium-light skin tone",People & Body,1F9CF 1F3FC 200D 2640 FE0F,false
🧏🏽‍♀️,"deaf woman: medium skin tone",People & Body,1F9CF 1F3FD 200D 2640 FE0F,false
